event_date,event_return,event_close,entry_date,entry_price,event_idx,fwd_return_1d,fwd_return_3d,fwd_return_5d,fwd_return_10d
2007-10-18,-0.03746871224895365,5351.0,2007-10-19,5360.35009765625,22,-0.03289898876816964,0.025334129714191033,0.0637924204205922,0.10671873931100546
2007-11-20,-0.02145523213041356,5780.89990234375,2007-11-21,5778.7998046875,44,-0.04489681522118073,-0.008150413747988802,-0.027903717977771324,0.027895099460227318
2007-12-17,-0.044760849012045356,5777.0,2007-12-18,5777.60009765625,63,-0.0045780592054527666,0.03591456599500107,0.05259967758360958,0.06939727572939841
2008-01-15,-0.021355579180658557,6074.25,2008-01-16,6065.0,82,-0.025028821877576258,-0.14117068348103876,-0.14206102187242375,-0.14796371019682605
2008-01-22,-0.05941867831462344,4899.2998046875,2008-01-23,4903.0498046875,87,0.02659577116682199,0.07567744725211886,0.05395627283162206,0.08555899220092406
2008-01-30,-0.02143609135320157,5167.60009765625,2008-01-31,5172.25,93,0.02803422108366765,0.060254222503504276,-0.0075402387742278506,0.005751848808545604
2008-02-06,-0.029422509624453808,5322.5498046875,2008-02-07,5322.5498046875,98,-0.037989255986515216,-0.09099018749641075,-0.02264888241747092,-0.0245652938531172
2008-02-20,-0.02392622595972027,5154.4501953125,2008-02-21,5156.89990234375,108,-0.008949156124355918,0.02194145794691976,0.024859934794203495,-0.0747153933533567
2008-03-03,-0.05178520149325161,4953.0,2008-03-04,4958.5498046875,116,-0.007492090189077223,-0.0318943861760237,-0.0174546607569982,-0.07756292152423755
2008-03-13,-0.050985201630490584,4623.60009765625,2008-03-14,4623.7998046875,123,-0.026104007986869904,-0.010781091630408314,0.054868334709323854,0.025033523268601587
2008-03-31,-0.04198704977741807,4734.5,2008-04-01,4735.64990234375,133,0.003917158859139726,-0.018719690891819456,-0.005490270720209317,0.03202303917540357
2008-06-02,-0.02679616381248584,4739.60009765625,2008-06-03,4739.2998046875,174,-0.032430889237948235,-0.02352668212500899,-0.06108497287166011,-0.018209399751867025
2008-06-09,-0.027410349351437824,4500.9501953125,2008-06-10,4522.0,179,0.0003538473366320212,-0.0010835697354599735,0.028969482529854047,-0.07317556442807387
2008-06-20,-0.03478940896098126,4347.5498046875,2008-06-23,4351.14990234375,188,-0.03678333504467154,-0.008112753060630187,-0.07138339530622012,-0.07380805294038764
2008-06-27,-0.04152141322281233,4136.64990234375,2008-06-30,4136.25,193,-0.057902689634330616,-0.05089150800846177,-0.025687518887881535,-0.02334241132139619
2008-07-11,-0.027197200999602766,4049.0,2008-07-14,4047.449951171875,203,-0.04604129903117649,-0.024768681814329587,0.027684109792557827,0.07032826839574856
2008-07-25,-0.02744972141794355,4311.85009765625,2008-07-28,4282.25,213,-0.021577418960534767,0.011839615929126043,0.02641137197880787,0.07896547430527176
2008-08-14,-0.0217152854608067,4430.7001953125,2008-08-18,4430.7001953125,227,-0.01409488174771332,-0.033143767617500146,-0.021520322624655693,-0.0185185838246415
2008-09-05,-0.021460332822775596,4352.2998046875,2008-09-08,4358.2998046875,241,0.025331068437802425,-0.0156024144843968,-0.06548422897314056,-0.03103274351492158
2008-09-15,-0.03678659692886699,4072.89990234375,2008-09-16,4072.550048828125,247,-0.01578864545731668,0.04240585115008454,0.013345410827121488,-0.0371634714961455
