holding_period,event_n,event_mean,event_median,event_win_rate,event_std,baseline_n,baseline_mean,baseline_median,baseline_win_rate,excess_return
1,128,-0.002611045681095237,-0.002142135655894272,0.46875,0.030093717525207783,4414,-2.8922671447057885e-05,0.00031459033033938433,0.5099682827367468,-0.002582123009648179
3,128,0.00043869170810174657,0.000716517230453545,0.5,0.04134549203468629,4412,0.0008989712101515774,0.0017514327863413738,0.5385312783318223,-0.0004602795020498308
5,128,0.00328102627360356,0.0011977765217548934,0.5,0.04768436072677746,4410,0.0018066827482697816,0.002621215100893127,0.5489795918367347,0.0014743435253337786
10,128,0.008969590564019716,0.017096867494328837,0.5703125,0.0651995089386058,4405,0.004058476440879435,0.005715514095741281,0.5709421112372304,0.004911114123140281
