signal_date,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,signal_return
2007-10-18,2007-10-19,2007-10-26,5360.35009765625,5702.2998046875,0.0637924204205922,0.0617924204205922,-0.03746871224895365
2007-11-20,2007-11-21,2007-11-28,5778.7998046875,5617.5498046875,-0.027903717977771324,-0.029903717977771326,-0.02145523213041356
2007-12-17,2007-12-18,2007-12-27,5777.60009765625,6081.5,0.05259967758360958,0.05059967758360958,-0.044760849012045356
2008-01-15,2008-01-16,2008-01-23,6065.0,5203.39990234375,-0.14206102187242375,-0.14406102187242376,-0.021355579180658557
2008-01-24,2008-01-25,2008-02-01,5035.0498046875,5317.25,0.05604715072525777,0.054047150725257766,-0.03266128112788336
2008-02-06,2008-02-07,2008-02-14,5322.5498046875,5202.0,-0.02264888241747092,-0.024648882417470923,-0.029422509624453808
2008-02-20,2008-02-21,2008-02-28,5156.89990234375,5285.10009765625,0.024859934794203495,0.022859934794203493,-0.02392622595972027
2008-03-03,2008-03-04,2008-03-12,4958.5498046875,4872.0,-0.0174546607569982,-0.0194546607569982,-0.05178520149325161
2008-03-13,2008-03-14,2008-03-25,4623.7998046875,4877.5,0.054868334709323854,0.05286833470932385,-0.050985201630490584
2008-03-31,2008-04-01,2008-04-08,4735.64990234375,4709.64990234375,-0.005490270720209317,-0.007490270720209317,-0.04198704977741807
2008-06-02,2008-06-03,2008-06-10,4739.2998046875,4449.7998046875,-0.06108497287166011,-0.06308497287166011,-0.02679616381248584
2008-06-20,2008-06-23,2008-06-30,4351.14990234375,4040.550048828125,-0.07138339530622012,-0.07338339530622012,-0.03478940896098126
2008-07-01,2008-07-02,2008-07-09,3895.300048828125,4157.10009765625,0.06720921252443333,0.06520921252443333,-0.035589225994077545
2008-07-11,2008-07-14,2008-07-21,4047.449951171875,4159.5,0.027684109792557827,0.02568410979255783,-0.027197200999602766
2008-07-25,2008-07-28,2008-08-04,4282.25,4395.35009765625,0.02641137197880787,0.02441137197880787,-0.02744972141794355
2008-08-14,2008-08-18,2008-08-25,4430.7001953125,4335.35009765625,-0.021520322624655693,-0.02352032262465569,-0.0217152854608067
2008-09-05,2008-09-08,2008-09-15,4358.2998046875,4072.89990234375,-0.06548422897314056,-0.06748422897314056,-0.021460332822775596
2008-09-23,2008-09-24,2008-10-01,4125.75,3950.75,-0.04241653032781918,-0.044416530327819184,-0.022767882641835158
2008-10-03,2008-10-06,2008-10-14,3817.300048828125,3518.64990234375,-0.07823596328930385,-0.08023596328930385,-0.033525267650920676
2008-10-15,2008-10-16,2008-10-23,3333.85009765625,2943.14990234375,-0.11719189041737914,-0.11919189041737914,-0.05122703451682897
2008-10-24,2008-10-27,2008-11-05,2583.75,2994.949951171875,0.15914850553338172,0.15714850553338172,-0.12202908932968193
2008-11-06,2008-11-07,2008-11-17,2893.25,2799.550048828125,-0.03238570851875054,-0.03438570851875054,-0.034157515316106224
2008-11-18,2008-11-19,2008-11-26,2682.75,2752.25,0.025906252912123753,0.023906252912123754,-0.04157816236687728
2008-12-01,2008-12-02,2008-12-10,2672.89990234375,2928.25,0.09553298177471763,0.09353298177471762,-0.0262060153001048
2008-12-17,2008-12-18,2008-12-26,2955.35009765625,2857.25,-0.033194069878234936,-0.03519406987823494,-0.028733427251993127
2009-01-07,2009-01-09,2009-01-16,2919.949951171875,2828.449951171875,-0.03133615354032967,-0.03333615354032967,-0.061809349610106756
2009-01-21,2009-01-22,2009-01-30,2714.699951171875,2874.800048828125,0.05897524608093001,0.056975246080930006,-0.03234291359293873
2009-02-02,2009-02-03,2009-02-10,2773.5,2934.5,0.05804939606994772,0.056049396069947716,-0.03762005866406637
2009-02-16,2009-02-17,2009-02-25,2853.85009765625,2762.5,-0.03200942394671398,-0.03400942394671398,-0.03386643185136817
2009-03-02,2009-03-03,2009-03-12,2672.14990234375,2617.449951171875,-0.020470390199253986,-0.022470390199253988,-0.032221810950793794
2009-03-30,2009-03-31,2009-04-09,2981.699951171875,3342.050048828125,0.12085391003699897,0.11885391003699897,-0.041979638781970974
2009-04-16,2009-04-17,2009-04-24,3369.5,3480.75,0.033016768066478706,0.031016768066478705,-0.03290613365016992
2009-04-28,2009-04-29,2009-05-08,3371.64990234375,3620.699951171875,0.07386592797045795,0.07186592797045795,-0.031023026612031712
2009-05-26,2009-05-27,2009-06-03,4117.2998046875,4530.7001953125,0.10040570525234724,0.09840570525234724,-0.028518746668491857
2009-06-08,2009-06-09,2009-06-16,4427.75,4517.7998046875,0.020337599161538027,0.01833759916153803,-0.034227910646094206
2009-06-17,2009-06-18,2009-06-25,4352.9501953125,4241.85009765625,-0.025522942526631433,-0.027522942526631435,-0.03578066964720927
2009-06-30,2009-07-01,2009-07-08,4292.2998046875,4078.89990234375,-0.04971691448735756,-0.05171691448735756,-0.022739974997403434
2009-08-06,2009-08-07,2009-08-14,4591.89990234375,4580.0498046875,-0.002580652433255698,-0.004580652433255698,-0.02314581012623862
2009-08-17,2009-08-18,2009-08-25,4389.5,4659.35009765625,0.0614762723900786,0.0594762723900786,-0.041953670928882025
2009-10-27,2009-10-28,2009-11-05,4846.5498046875,4765.5498046875,-0.016712920172956478,-0.018712920172956476,-0.024985356670065073
2009-11-26,2009-11-27,2009-12-04,5005.0498046875,5108.89990234375,0.020749063787335095,0.018749063787335096,-0.02008556906467729
2010-01-21,2010-01-22,2010-02-01,5094.14990234375,4899.7001953125,-0.038171178853960756,-0.04017117885396076,-0.024426965968527115
2010-02-05,2010-02-08,2010-02-16,4755.35009765625,4855.75,0.021113041160362448,0.01911304116036245,-0.026148821603992345
2010-05-19,2010-05-20,2010-05-27,4924.2998046875,5003.10009765625,0.01600233456414231,0.01400233456414231,-0.028927063147710874
2010-06-01,2010-06-02,2010-06-09,4970.75,5000.2998046875,0.005944737652768697,0.003944737652768697,-0.02282594692275186
2010-11-16,2010-11-18,2010-11-25,6075.9501953125,5799.75,-0.04545794261539275,-0.047457942615392754,-0.021709994155716394
2010-12-09,2010-12-10,2010-12-20,5761.0,5947.0498046875,0.032294706593907305,0.030294706593907303,-0.023239695576248276
2011-01-07,2011-01-10,2011-01-17,5901.2998046875,5654.75,-0.04177889835247167,-0.043778898352471673,-0.02375065553569211
2011-02-04,2011-02-07,2011-02-14,5430.14990234375,5456.0,0.004760475883933266,0.002760475883933266,-0.02370289953408422
2011-02-24,2011-02-25,2011-03-07,5321.0498046875,5463.14990234375,0.026705274874719086,0.024705274874719088,-0.03212040777345426
2011-05-03,2011-05-04,2011-05-11,5567.7001953125,5565.0498046875,-0.00047602969485163537,-0.0024760296948516352,-0.02386294517885945
2011-06-20,2011-06-21,2011-06-28,5280.7998046875,5545.2998046875,0.05008710986642907,0.04808710986642907,-0.020218396313068876
2011-08-05,2011-08-08,2011-08-16,5083.85009765625,5035.7998046875,-0.009451555818080097,-0.011451555818080097,-0.022609589463865043
2011-08-18,2011-08-19,2011-08-26,4859.2998046875,4747.7998046875,-0.022945692688572553,-0.02494569268857255,-0.02223830106015723
2011-09-12,2011-09-13,2011-09-20,4977.7998046875,5140.2001953125,0.03262493410684589,0.030624934106845886,-0.022265342334898075
2011-09-22,2011-09-23,2011-09-30,4873.75,4943.25,0.014260066683765067,0.012260066683765067,-0.04083185070983297
2011-11-21,2011-11-22,2011-11-30,4794.85009765625,4832.0498046875,0.00775826277643871,0.00575826277643871,-0.025979394207947815
2011-12-08,2011-12-09,2011-12-16,4870.75,4651.60009765625,-0.04499305083277729,-0.04699305083277729,-0.023495870307348232
2012-01-30,2012-01-31,2012-02-07,5125.25,5335.14990234375,0.04095408074606117,0.038954080746061166,-0.02255660964501549
2012-02-27,2012-02-28,2012-03-06,5310.5,5222.39990234375,-0.016589793363383863,-0.018589793363383865,-0.027277846997348587
2012-03-22,2012-03-23,2012-03-30,5255.64990234375,5295.5498046875,0.0075918113050027726,0.0055918113050027725,-0.025442920256606216
2012-05-08,2012-05-09,2012-05-16,4967.89990234375,4858.25,-0.022071681092451056,-0.024071681092451058,-0.02233014464024874
2013-05-23,2013-05-24,2013-05-31,6010.7001953125,5985.9501953125,-0.004117656711492866,-0.006117656711492866,-0.020912330020920522
2013-06-20,2013-06-21,2013-06-28,5639.89990234375,5842.2001953125,0.035869482875871765,0.03386948287587176,-0.028571445344368618
2013-08-06,2013-08-07,2013-08-16,5549.2998046875,5507.85009765625,-0.007469358025356169,-0.00946935802535617,-0.025178510712102753
2013-08-27,2013-08-28,2013-09-04,5233.4501953125,5448.10009765625,0.041014989028845206,0.039014989028845204,-0.03452018710627225
2013-09-23,2013-09-24,2013-10-01,5855.0,5780.0498046875,-0.012801058123398804,-0.014801058123398804,-0.020350642149811637
2013-11-21,2013-11-22,2013-11-29,6027.35009765625,6176.10009765625,0.02467917038000527,0.02267917038000527,-0.020227359524339406
2014-01-27,2014-01-28,2014-02-04,6131.85009765625,6000.89990234375,-0.021355739821909952,-0.02335573982190995,-0.020888004522878645
2014-07-08,2014-07-09,2014-07-16,7637.9501953125,7624.39990234375,-0.0017740745386197955,-0.0037740745386197956,-0.021053878387766067
2015-01-06,2015-01-07,2015-01-14,8118.64990234375,8277.5498046875,0.01957220772605032,0.017572207726050317,-0.029963988501869876
2015-03-09,2015-03-10,2015-03-17,8769.75,8723.2998046875,-0.005296638480287352,-0.007296638480287352,-0.02025118178512486
2015-03-26,2015-03-27,2015-04-07,8396.0,8660.2998046875,0.031479252583075275,0.029479252583075273,-0.022113918786236364
2015-05-06,2015-05-07,2015-05-14,8077.0,8224.2001953125,0.018224612518571253,0.016224612518571255,-0.02736399793773192
2015-06-02,2015-06-03,2015-06-10,8232.4501953125,8124.4501953125,-0.013118816079992133,-0.015118816079992133,-0.023353592405198742
2015-08-24,2015-08-25,2015-09-01,7895.39990234375,7785.85009765625,-0.01387514325334935,-0.01587514325334935,-0.05915098088055637
2015-09-04,2015-09-07,2015-09-14,7685.85009765625,7872.25,0.024252346841970213,0.022252346841970215,-0.021468770971813878
2015-09-22,2015-09-23,2015-10-01,7737.35009765625,7950.89990234375,0.02759986325966912,0.02559986325966912,-0.02069675641963653
2016-01-07,2016-01-08,2016-01-15,7611.64990234375,7437.7998046875,-0.022840001824403242,-0.02484000182440324,-0.022309804329221028
2016-02-11,2016-02-12,2016-02-19,7023.64990234375,7210.75,0.026638585387608202,0.0246385853876082,-0.03317073758299127
